date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:04	82887/82887	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/one-page-hero-slideshow.html	(from )
13:45:06	0/0	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202023%2008:15:10%20GMT	http://themes247.net/robots.txt		(from )
13:45:08	80344/80344	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/style.css	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/style.css	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:09	1467/1467	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/assets/icon/favicon.png	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/icon/favicon.png	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:09	3263/3263	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/assets/icon/apple-touch-icon-158-precomposed.png	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/icon/apple-touch-icon-158-precomposed.png	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:11	85735/85735	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/home-hero-slideshow.html	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/home-hero-slideshow.html	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:12	2634/2634	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction/demo/assets/img/logo.png	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/img/logo.png	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:12	2816/2816	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/assets/img/shop-item.png	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/img/shop-item.png	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:13	45515/45515	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/page-about.html	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/page-about.html	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:13	39359/39359	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/page-portfolio-grid.html	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/page-portfolio-grid.html	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:18	50608/50608	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction/demo/assets/img/services/1.jpg	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/img/services/1.jpg	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:25	53731/53731	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction/demo/assets/img/services/3.jpg	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/img/services/3.jpg	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:26	71216/71216	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction/demo/assets/img/services/2.jpg	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/assets/img/services/2.jpg	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
13:45:26	26688/26688	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:38%20GMT	http://themes247.net/html5/construction/demo/page-project-detail.html	C:/My%20Web%20Sites/best%20builders/themes247.net/html5/construction/demo/page-project-detail.html	(from http://themes247.net/html5/construction/demo/one-page-hero-slideshow.html)
